symbol,name,sector,industry
SCHW,The Charles Schwab Corporation,Financials,Investment Banking & Brokerage
SHW,The Sherwin-Williams Company,Materials,Specialty Chemicals
SJM,The J. M. Smucker Company,Consumer Staples,Packaged Foods & Meats
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services
SMCI,"Super Micro Computer, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals"
SNA,Snap-on Incorporated,Industrials,Industrial Machinery & Supplies & Components
SNPS,"Synopsys, Inc.",Information Technology,Application Software
SO,The Southern Company,Utilities,Electric Utilities
SOLV,Solventum Corporation,Health Care,Health Care Equipment
SPG,"Simon Property Group, Inc.",Real Estate,Retail REITs
SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data
SRE,Sempra,Utilities,Multi-Utilities
STE,STERIS plc,Health Care,Health Care Equipment
STLD,"Steel Dynamics, Inc.",Materials,Steel
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STX,Seagate Technology Holdings plc,Information Technology,"Technology Hardware, Storage & Peripherals"
STZ,"Constellation Brands, Inc.",Consumer Staples,Brewers
SW,Smurfit Westrock plc,Materials,Paper & Plastic Packaging Products & Materials
SWK,"Stanley Black & Decker, Inc.",Industrials,Industrial Machinery & Supplies & Components
SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors
SYF,Synchrony Financial,Financials,Consumer Finance
SYK,Stryker Corporation,Health Care,Health Care Equipment
SYY,Sysco Corporation,Consumer Staples,Food Distributors
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense
TDY,Teledyne Technologies Incorporated,Information Technology,Electronic Equipment & Instruments
TEAM,Atlassian Corporation,Information Technology,Application Software
TECH,Bio-Techne Corporation,Health Care,Life Sciences Tools & Services
TER,"Teradyne, Inc.",Information Technology,Semiconductor Materials & Equipment
TFC,Truist Financial Corporation,Financials,Regional Banks
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TJX,"The TJX Companies, Inc.",Consumer Discretionary,Apparel Retail
TMO,Thermo Fisher Scientific Inc.,Health Care,Life Sciences Tools & Services
TMUS,"T-Mobile US, Inc.",Communication Services,Wireless Telecommunication Services
TOL,"Toll Brothers, Inc.",Consumer Discretionary,Homebuilding
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources Corp.,Energy,Oil & Gas Storage & Transportation
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TROW,"T. Rowe Price Group, Inc.",Financials,Asset Management & Custody Banks
TRV,"The Travelers Companies, Inc.",Financials,Property & Casualty Insurance
TSCO,Tractor Supply Company,Consumer Discretionary,Other Specialty Retail
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TSN,"Tyson Foods, Inc.",Consumer Staples,Packaged Foods & Meats
TT,Trane Technologies plc,Industrials,Building Products
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Interactive Home Entertainment
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors
TXT,Textron Inc.,Industrials,Aerospace & Defense
TYL,"Tyler Technologies, Inc.",Information Technology,Application Software
UAL,"United Airlines Holdings, Inc.",Industrials,Passenger Airlines
UBER,"Uber Technologies, Inc.",Industrials,Passenger Ground Transportation
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities
ULTA,"Ulta Beauty, Inc.",Consumer Discretionary,Other Specialty Retail
UNH,UnitedHealth Group Incorporated,Health Care,Managed Health Care
UNP,Union Pacific Corporation,Industrials,Rail Transportation
UPS,"United Parcel Service, Inc.",Industrials,Air Freight & Logistics
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors
USB,U.S. Bancorp,Financials,Diversified Banks
V,Visa Inc.,Financials,Transaction & Payment Processing Services
VFC,V.F. Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VICI,VICI Properties Inc.,Real Estate,Other Specialized REITs
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing
VLTO,Veralto Corporation,Industrials,Industrial Machinery & Supplies & Components
VMC,Vulcan Materials Company,Materials,Construction Materials
VRSK,"Verisk Analytics, Inc.",Industrials,Research & Consulting Services
VRSN,"VeriSign, Inc.",Information Technology,Internet Services & Infrastructure
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology
VST,Vistra Corp.,Utilities,Independent Power Producers & Energy Traders
VTR,"Ventas, Inc.",Real Estate,Health Care REITs
VTRS,Viatris Inc.,Health Care,Pharmaceuticals
VZ,Verizon Communications Inc.,Communication Services,Integrated Telecommunication Services
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WBA,"Walgreens Boots Alliance, Inc.",Consumer Staples,Drug Retail
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Movies & Entertainment
WDAY,"Workday, Inc.",Information Technology,Application Software
WDC,Western Digital Corporation,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,"WEC Energy Group, Inc.",Utilities,Multi-Utilities
WELL,Welltower Inc.,Real Estate,Health Care REITs
WFC,Wells Fargo & Company,Financials,Diversified Banks
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
WM,"Waste Management, Inc.",Industrials,Environmental & Facilities Services
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Storage & Transportation
WMT,Walmart Inc.,Consumer Staples,Consumer Staples Merchandise Retail
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail
WST,"West Pharmaceutical Services, Inc.",Health Care,Health Care Supplies
WTW,Willis Towers Watson Public Limited Company,Financials,Insurance Brokers
WY,Weyerhaeuser Company,Real Estate,Timber REITs
WYNN,"Wynn Resorts, Limited",Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy Inc.,Utilities,Electric Utilities
XOM,Exxon Mobil Corporation,Energy,Integrated Oil & Gas
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
YUM,"Yum\! Brands, Inc.",Consumer Discretionary,Restaurants
ZBH,"Zimmer Biomet Holdings, Inc.",Health Care,Health Care Equipment
ZBRA,Zebra Technologies Corporation,Information Technology,Electronic Equipment & Instruments
ZION,"Zions Bancorporation, National Association",Financials,Regional Banks
ZS,"Zscaler, Inc.",Information Technology,Systems Software
ZTS,Zoetis Inc.,Health Care,Pharmaceuticals
